"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"627","1800",16,35,48,15.6,1,1.6,76.6,543.1,10.1,"WGS84",49.26838,12.78942,"B16","8","U111","8","mineral","GERMANY"
"628","1801",17,37,46,57.3,2,5.2,16,67.4,17.5,"WGS84",49.21309,12.84123,"E20","8","U111","8","mineral","GERMANY"
"629","1802",11,28,61,17.4,3,1.7,139.4,688.1,7,"WGS84",49.16188,12.7285,"B16","8","U111","8","mineral","GERMANY"
"630","1803",14,8,77,7.9,1,0.9,30.5,166.7,10.4,"WGS84",49.33932,11.99506,"B16","8","U111","8","mineral","GERMANY"
"631","1804",8,13,79,14.4,1,1.2,43.5,189,7.4,"WGS84",49.31825,12.15931,"B16","8","U111","8","mineral","GERMANY"
"632","1805",51,42,7,48.9,2,4.4,0,99.5,20.8,"WGS84",49.21091,12.12718,"E20","8","U111","8","mineral","GERMANY"
"633","1806",22,66,12,12.7,3,1.4,25.7,210.2,16,"WGS84",49.43574,11.58535,"B16","8","U111","8","mineral","GERMANY"
"634","1807",41,29,30,44,2,4.2,17.5,133.2,26.1,"WGS84",49.45728,11.31019,"E20","8","U111","8","mineral","GERMANY"
"635","1808",28,52,21,27.8,1,2.8,0,91.6,14.1,"WGS84",49.94105,11.46267,"E20","8","U111","8","mineral","GERMANY"
"636","1809",17,41,42,23.5,2,2.2,0,45.5,4.7,"WGS84",49.7586,11.65145,"E20","8","U111","U150","mineral","GERMANY"
"637","1810",16,33,51,30.5,0,2.4,11.4,48.7,7.3,"WGS84",50.15242,11.77703,"E20","8","U111","8","mineral","GERMANY"
"638","1812",6,10,84,19.5,1,1.6,56.9,67.2,6.9,"WGS84",51.82293,7.20004,"B13","8","U111","8","mineral","GERMANY"
"639","1813",5,26,69,74.9,1,3.6,75.8,75.4,10,"WGS84",51.74964,7.14665,"C30","8","U120","8","mineral","GERMANY"
"640","1814",6,26,68,12.7,0,0.8,0,13.1,2,"WGS84",51.74823,7.08865,"C30","8","U120","U361","mineral","GERMANY"
